id	olalde_cluster
AIG002	Kazakhstan_Sarmatian_IA
AIG003	Kazakhstan_Sarmatian_IA
AIG006	Kazakhstan_Sarmatian_IA
BSB001	Kazakhstan_Sarmatian_IA
BSB002	Kazakhstan_Sarmatian_IA
CLK001	Kazakhstan_Sarmatian_IA
KBU001	Kazakhstan_Sarmatian_IA
KBU002	Kazakhstan_Sarmatian_IA
KBU003	Kazakhstan_Sarmatian_IA
SGZ001	Kazakhstan_Sarmatian_IA
SGZ002	Kazakhstan_Sarmatian_IA
I8892_published	Kenya_IA_Pastoral
I12381	Kenya_IA_Pastoral
CL146	CNE_EarlyMedieval
CL84	CNE_EarlyMedieval
CL93	CNE_EarlyMedieval
CL97	CNE_EarlyMedieval
SZ12	CNE_EarlyMedieval
SZ16	CNE_EarlyMedieval
SZ24	CNE_EarlyMedieval
SZ30	CNE_EarlyMedieval
SZ41	CNE_EarlyMedieval
SZ7	CNE_EarlyMedieval
SZ9	CNE_EarlyMedieval
QED-12.SG	Lebanon_Roman
QED-2.SG	Lebanon_Roman
QED-4.SG	Lebanon_Roman
QED-7.SG	Lebanon_Roman
I1727	Levant_N
I1710	Levant_N
I1707	Levant_N
I1704	Levant_N
I1699	Levant_N
I0867	Levant_N
I1709	Levant_N
I1679	Levant_N
I1414	Levant_N
I1415	Levant_N
I1700	Levant_N
I1701	Levant_N
MA1.SG	MA1
I6349	Mongolia_EIA
I6352	Mongolia_EIA
I6353	Mongolia_EIA
I6357	Mongolia_EIA
I6359	Mongolia_EIA
I7032	Mongolia_EIA
I6365	Mongolia_EIA
I6369	Mongolia_EIA
I12969	Mongolia_EIA
I12960	Mongolia_EIA
I12971	Mongolia_EIA
I13178	Mongolia_EIA
I13963	Mongolia_EIA
TAF010	Morocco_Iberomaurusian
TAF011	Morocco_Iberomaurusian
TAF013	Morocco_Iberomaurusian
TAF014	Morocco_Iberomaurusian
I5950	Mota
I11629	Netherlands_MBA_IA
I12082	Netherlands_MBA_IA
I12083	Netherlands_MBA_IA
I12081	Netherlands_MBA_IA
I11973	Netherlands_MBA_IA
I11972	Netherlands_MBA_IA
I12907	Netherlands_MBA_IA
I12905	Netherlands_MBA_IA
I12903	Netherlands_MBA_IA
I11971	Netherlands_MBA_IA
I17019	Netherlands_MBA_IA
I17750	Netherlands_MBA_IA
I12906	Netherlands_MBA_IA
I20058	Netherlands_MBA_IA
I20062	Netherlands_MBA_IA
I26832	Netherlands_MBA_IA
I26828	Netherlands_MBA_IA
I26829	Netherlands_MBA_IA
I26830	Netherlands_MBA_IA
I26831	Netherlands_MBA_IA
I1048_published	OldAfrica
I0589	OldAfrica
I10871	OldAfrica
I10872	OldAfrica
I10873	OldAfrica
I10874	OldAfrica
KPL001	OldAfrica
NYA002	OldAfrica
NYA003	OldAfrica
I16803	Serbia_BA
I17912	Serbia_BA
I17913	Serbia_BA
I23207	Serbia_BA
I23208	Serbia_BA
I23206	Serbia_BA
I23209	Serbia_BA
I23210	Serbia_BA
I23211	Serbia_BA
I23212	Serbia_BA
I23205	Serbia_BA
I0576	Steppe_IA
I0563	Steppe_IA
I0562	Steppe_IA
I0577	Steppe_IA
I6224	Steppe_IA
I6225	Steppe_IA
I6226	Steppe_IA
I6231	Steppe_IA
I6232	Steppe_IA
I6233	Steppe_IA
I6356	Steppe_IA
I7028	Steppe_IA
I7029	Steppe_IA
I7023	Steppe_IA
I7030	Steppe_IA
I7024	Steppe_IA
I7027	Steppe_IA
I7022	Steppe_IA
I12970	Steppe_IA
CHN001	Steppe_IA
CHN003	Steppe_IA
CHN004	Steppe_IA
CHN006	Steppe_IA
CHN007	Steppe_IA
CHN008	Steppe_IA
CHN012	Steppe_IA
CHN015	Steppe_IA
CHN016	Steppe_IA
AKB001	Steppe_IA
ALN002	Steppe_IA
ALN003	Steppe_IA
ALN005	Steppe_IA
ALN006	Steppe_IA
ALN008	Steppe_IA
ALN009	Steppe_IA
BKT001	Steppe_IA
BRE003	Steppe_IA
BRE004	Steppe_IA
BRE005	Steppe_IA
BRE006	Steppe_IA
BRE009	Steppe_IA
BRE010	Steppe_IA
BRE011	Steppe_IA
BRE012	Steppe_IA
BRE013	Steppe_IA
CHK001	Steppe_IA
CHK002	Steppe_IA
CHK003	Steppe_IA
CHK005	Steppe_IA
KEN001	Steppe_IA
KEN002	Steppe_IA
KEN003	Steppe_IA
KKM001	Steppe_IA
KSH001	Steppe_IA
KSH002	Steppe_IA
KSH004	Steppe_IA
KYZ001	Steppe_IA
KYZ002	Steppe_IA
KZL001	Steppe_IA
SRK001	Steppe_IA
TAL003	Steppe_IA
TAL005	Steppe_IA
WAR001	Steppe_IA
I6139	Sudan_EarlyChristian
I6140	Sudan_EarlyChristian
I6141	Sudan_EarlyChristian
I6250	Sudan_EarlyChristian
I6251	Sudan_EarlyChristian
I6252	Sudan_EarlyChristian
I6254	Sudan_EarlyChristian
I6255	Sudan_EarlyChristian
I6256	Sudan_EarlyChristian
I6257	Sudan_EarlyChristian
I6258	Sudan_EarlyChristian
I6328	Sudan_EarlyChristian
I6333	Sudan_EarlyChristian
I6324	Sudan_EarlyChristian
I6325	Sudan_EarlyChristian
I6326	Sudan_EarlyChristian
I6327	Sudan_EarlyChristian
I6330	Sudan_EarlyChristian
I6332	Sudan_EarlyChristian
I6334	Sudan_EarlyChristian
I6336	Sudan_EarlyChristian
I6337	Sudan_EarlyChristian
I6338	Sudan_EarlyChristian
I6340	Sudan_EarlyChristian
I18522	Sudan_EarlyChristian
I18517	Sudan_EarlyChristian
I18520	Sudan_EarlyChristian
I18511	Sudan_EarlyChristian
I18538	Sudan_EarlyChristian
I18519	Sudan_EarlyChristian
I18518	Sudan_EarlyChristian
I18536	Sudan_EarlyChristian
I18514	Sudan_EarlyChristian
I18521	Sudan_EarlyChristian
I18507	Sudan_EarlyChristian
I18508	Sudan_EarlyChristian
I18525	Sudan_EarlyChristian
I18510	Sudan_EarlyChristian
I17450	Sudan_EarlyChristian
I17451	Sudan_EarlyChristian
I17449	Sudan_EarlyChristian
I17473	Sudan_EarlyChristian
I17482	Sudan_EarlyChristian
I17481	Sudan_EarlyChristian
I6253	Sudan_EarlyChristian
I17477	Sudan_EarlyChristian
I19144	Sudan_EarlyChristian
I19138	Sudan_EarlyChristian
I19143	Sudan_EarlyChristian
I19136	Sudan_EarlyChristian
I19132	Sudan_EarlyChristian
I19140	Sudan_EarlyChristian
I19135	Sudan_EarlyChristian
I19134	Sudan_EarlyChristian
I19148	Sudan_EarlyChristian
I18610	Sudan_EarlyChristian
I19015	Sudan_EarlyChristian
I19014	Sudan_EarlyChristian
I21036	Sudan_EarlyChristian
I21037	Sudan_EarlyChristian
I21035	Sudan_EarlyChristian
I6329	Sudan_EarlyChristian
I19139	Sudan_EarlyChristian
I6331	Sudan_EarlyChristian
I4533	SoutheastTurkey_Byzantine
I4474	SoutheastTurkey_Byzantine
I4475	SoutheastTurkey_Byzantine
I4532	SoutheastTurkey_Byzantine
I4534	SoutheastTurkey_Byzantine
I14791	SoutheastTurkey_Byzantine
I14652	SoutheastTurkey_Byzantine
I14645	SoutheastTurkey_Byzantine
I14651	SoutheastTurkey_Byzantine
I14647	SoutheastTurkey_Byzantine
I14648	SoutheastTurkey_Byzantine
I16571	SoutheastTurkey_Byzantine
I8366	WestAnatolia_Roman_Byzantine
I8371	WestAnatolia_Roman_Byzantine
I10546	WestAnatolia_Roman_Byzantine
I14839	WestAnatolia_Roman_Byzantine
I14843	WestAnatolia_Roman_Byzantine
I14842	WestAnatolia_Roman_Byzantine
I14833	WestAnatolia_Roman_Byzantine
I8370	WestAnatolia_Roman_Byzantine
I8368	WestAnatolia_Roman_Byzantine
I8373	WestAnatolia_Roman_Byzantine
I19539	WestAnatolia_Roman_Byzantine
I20259	WestAnatolia_Roman_Byzantine
I20187	WestAnatolia_Roman_Byzantine
I20261	WestAnatolia_Roman_Byzantine
I20260	WestAnatolia_Roman_Byzantine
I20574	WestAnatolia_Roman_Byzantine
I20320	WestAnatolia_Roman_Byzantine
I20265	WestAnatolia_Roman_Byzantine
I20266	WestAnatolia_Roman_Byzantine
I20142	WestAnatolia_Roman_Byzantine
I20145	WestAnatolia_Roman_Byzantine
I20143	WestAnatolia_Roman_Byzantine
I20141	WestAnatolia_Roman_Byzantine
I20144	WestAnatolia_Roman_Byzantine
I20147	WestAnatolia_Roman_Byzantine
I20146	WestAnatolia_Roman_Byzantine
I0001	WHG
I0843	WHG
I1507	WHG
I6711	Steppe_BA
I6713	Steppe_BA
I6715	Steppe_BA
I0370	Steppe_BA
I0441	Steppe_BA
I0444	Steppe_BA
I0439	Steppe_BA
I0357	Steppe_BA
I0429	Steppe_BA
I0443	Steppe_BA
I2071	Steppe_BA
I2105	Steppe_BA
I3950	Steppe_BA
I3954	Steppe_BA
I1829	Steppe_BA
I3952	Steppe_BA
I5269	Steppe_BA
I5272	Steppe_BA
I5273	Steppe_BA
I5277	Steppe_BA
I5278	Steppe_BA
I5279	Steppe_BA
I6294	Steppe_BA
I3387	Steppe_BA
I7489	Steppe_BA
I8745	Steppe_BA
I10565	Steppe_BA
I10564	Steppe_BA
I11112	Steppe_BA
I11752	Steppe_BA
I0231	Steppe_BA
RK1001	Steppe_BA
I3141	Steppe_BA
I0438	Steppe_BA
I6457	Mesopotamia_PPNA
I6445	Mesopotamia_PPNA
I8432	Mesopotamia_PPNA
ALA002	SoutheastTurkey_MLBA
ALA004	SoutheastTurkey_MLBA
ALA008	SoutheastTurkey_MLBA
ALA011	SoutheastTurkey_MLBA
ALA013	SoutheastTurkey_MLBA
ALA015	SoutheastTurkey_MLBA
ALA016	SoutheastTurkey_MLBA
ALA017	SoutheastTurkey_MLBA
ALA018	SoutheastTurkey_MLBA
ALA020	SoutheastTurkey_MLBA
ALA023	SoutheastTurkey_MLBA
ALA024	SoutheastTurkey_MLBA
ALA025	SoutheastTurkey_MLBA
ALA026	SoutheastTurkey_MLBA
ALA028	SoutheastTurkey_MLBA
ALA029	SoutheastTurkey_MLBA
ALA030	SoutheastTurkey_MLBA
ALA034	SoutheastTurkey_MLBA
ALA035	SoutheastTurkey_MLBA
ALA037	SoutheastTurkey_MLBA
ALA039	SoutheastTurkey_MLBA
ALA084	SoutheastTurkey_MLBA
ALA095	SoutheastTurkey_MLBA
ALA001_d	SoutheastTurkey_MLBA
ALA014_d	SoutheastTurkey_MLBA
s19_VII15_1.SG	Russia_Ingria_IA
s19_VIII5_2.SG	Russia_Ingria_IA
s19_VIII7_1.SG	Russia_Ingria_IA
s19_VIII8_1.SG	Russia_Ingria_IA
s19_VIII9_1.SG	Russia_Ingria_IA
IMA001	Russia_Buryatia_Xiongnu
IMA002	Russia_Buryatia_Xiongnu
IMA003	Russia_Buryatia_Xiongnu
IMA004	Russia_Buryatia_Xiongnu
IMA005	Russia_Buryatia_Xiongnu
IMA006	Russia_Buryatia_Xiongnu
IMA007	Russia_Buryatia_Xiongnu
IMA008	Russia_Buryatia_Xiongnu
I20571	WestAnatolia_Ottoman
I20324	WestAnatolia_Ottoman
I20329	WestAnatolia_Ottoman
I20573	WestAnatolia_Ottoman
I20323	WestAnatolia_Ottoman
I20570	WestAnatolia_Ottoman
I20327	WestAnatolia_Ottoman
I20572	WestAnatolia_Ottoman
I20328	WestAnatolia_Ottoman
I20325	WestAnatolia_Ottoman
I20326	WestAnatolia_Ottoman
I15844	Bulgaria_IA
I20185	Bulgaria_IA
I20180	Bulgaria_IA
I20183	Bulgaria_IA
I20181	Bulgaria_IA
I20186	Bulgaria_IA
I20184	Bulgaria_IA
I19481	Bulgaria_IA
I19487	Bulgaria_IA
I19490	Bulgaria_IA
I19494	Bulgaria_IA
I19497	Bulgaria_IA
I19493	Bulgaria_IA
CSN001	Italy_IA
CSN003	Italy_IA
CSN004	Italy_IA
CSN005	Italy_IA
CSN006	Italy_IA
CSN007	Italy_IA
CSN008	Italy_IA
CSN009	Italy_IA
CSN010	Italy_IA
CSN013	Italy_IA
MAG001	Italy_IA
MAS004	Italy_IA
VET001	Italy_IA
VET002	Italy_IA
VET003_4	Italy_IA
VET007	Italy_IA
VET010	Italy_IA
VEU001	Italy_IA
CAM001	Italy_IA
CAM003	Italy_IA
ETR005	Italy_IA
PRZ001	Italy_IA
PRZ002	Italy_IA
TAQ001	Italy_IA
TAQ002	Italy_IA
TAQ004	Italy_IA
TAQ005	Italy_IA
TAQ006	Italy_IA
TAQ008	Italy_IA
TAQ010	Italy_IA
TAQ012	Italy_IA
TAQ013	Italy_IA
TAQ015	Italy_IA
TAQ016	Italy_IA
TAQ017	Italy_IA
TAQ018	Italy_IA
TAQ019	Italy_IA
TAQ024	Italy_IA
R1015.SG	Italy_IA
R1016.SG	Italy_IA
R1021.SG	Italy_IA
R435.SG	Italy_IA
R473.SG	Italy_IA
R474.SG	Italy_IA
R851.SG	Italy_IA
I12991	CEE_EarlyMedieval
I13458	CEE_EarlyMedieval
I15232	CEE_EarlyMedieval
I15487	CroatiaSerbia_RomanLocal
I15488	CroatiaSerbia_RomanAnatolian
I15489	CroatiaSerbia_RomanAnatolian
I15490	CroatiaSerbia_RomanLocal
I15491	CroatiaSerbia_RomanLocal
I15492	CroatiaSerbia_RomanLocal
I15494	CroatiaSerbia_RomanLocal
I15495	CroatiaSerbia_RomanLocal
I15500	CroatiaSerbia_RomanLocal
I15502	CroatiaSerbia_RomanAnatolian
I15504	CroatiaSerbia_RomanLocal
I15507	CroatiaSerbia_RomanLocal
I15508	CroatiaSerbia_RomanAnatolian
I15509	CroatiaSerbia_RomanLocal
I15510	CroatiaSerbia_RomanLocal
I15513	CroatiaSerbia_RomanAnatolian
I15514	CroatiaSerbia_RomanLocal
I15515	CroatiaSerbia_RomanLocal
I15517	CroatiaSerbia_RomanLocal
I15518	CroatiaSerbia_RomanLocal
I15521	CroatiaSerbia_RomanLocal
I15524	CroatiaSerbia_RomanAnatolian
I15526	CroatiaSerbia_RomanAnatolian
I15529	CroatiaSerbia_RomanAnatolian
I15532	CroatiaSerbia_RomanAnatolian
I15534	CroatiaSerbia_RomanLocal
I15544	CroatiaSerbia_RomanLocal
I15546	CroatiaSerbia_RomanLocal
I15547	CroatiaSerbia_RomanLocal
I15548	CroatiaSerbia_RomanLocal
I15553	CroatiaSerbia_RomanLocal
I15554	CroatiaSerbia_RomanLocal
I15555	CroatiaSerbia_RomanLocal
I26702	CroatiaSerbia_RomanLocal
I26703	CroatiaSerbia_RomanLocal
I26705	CroatiaSerbia_RomanLocal
I26707	CroatiaSerbia_RomanAnatolian
I26708	CroatiaSerbia_RomanLocal
I26746	CroatiaSerbia_RomanAnatolian
I26750	CroatiaSerbia_RomanLocal
I26751	CroatiaSerbia_RomanLocal
I26752	CroatiaSerbia_RomanLocal
I26753	CroatiaSerbia_RomanAnatolian
I26754	CroatiaSerbia_RomanLocal
I26763	CroatiaSerbia_RomanLocal
I26765	CroatiaSerbia_RomanLocal
I26776	CroatiaSerbia_RomanLocal
I27297	CroatiaSerbia_RomanLocal
I27298	CroatiaSerbia_RomanLocal
I28392	CroatiaSerbia_RomanLocal
I28447	CroatiaSerbia_RomanLocal
I28448	CroatiaSerbia_RomanLocal
I32298	CroatiaSerbia_RomanLocal
I4137	CEE_EarlyMedieval
I4803	CEE_EarlyMedieval
I5026	CEE_EarlyMedieval
